weight,height,G,AB,HR
180.0,73.0,116,310.0,7.0
180.0,73.0,119,326.0,8.0
180.0,73.0,99,262.0,6.0
180.0,73.0,72,220.0,2.0
180.0,73.0,30,66.0,1.0
160.0,69.0,5,11.0,0.0
160.0,69.0,56,208.0,0.0
160.0,69.0,34,118.0,0.0
190.0,72.0,1,2.0,0.0
170.0,74.0,4,2.0,0.0
170.0,74.0,26,30.0,0.0
180.0,69.0,3,6.0,0.0
180.0,69.0,55,66.0,3.0
180.0,69.0,25,29.0,0.0
180.0,69.0,2,2.0,0.0
180.0,69.0,15,15.0,0.0
185.0,72.0,8,1.0,0.0
165.0,72.0,11,23.0,0.0
180.0,74.0,8,14.0,0.0
180.0,74.0,58,112.0,2.0
180.0,74.0,54,121.0,2.0
151.0,65.0,11,44.0,0.0
151.0,65.0,95,311.0,4.0
151.0,65.0,117,418.0,1.0
151.0,65.0,149,627.0,2.0
151.0,65.0,154,624.0,0.0
151.0,65.0,146,647.0,0.0
151.0,65.0,135,539.0,0.0
151.0,65.0,74,196.0,0.0
151.0,65.0,137,570.0,0.0
151.0,65.0,143,608.0,1.0
151.0,65.0,31,127.0,0.0
151.0,65.0,8,30.0,0.0
151.0,65.0,137,538.0,1.0
151.0,65.0,87,278.0,0.0
158.0,69.0,25,56.0,0.0
158.0,69.0,39,55.0,0.0
158.0,69.0,28,25.0,0.0
158.0,69.0,88,259.0,0.0
180.0,75.0,18,0.0,0.0
180.0,75.0,69,6.0,0.0
180.0,75.0,74,2.0,0.0
180.0,75.0,63,1.0,0.0
180.0,75.0,52,2.0,0.0
180.0,75.0,66,2.0,0.0
180.0,75.0,43,39.0,0.0
180.0,75.0,46,25.0,0.0
180.0,75.0,66,1.0,0.0
180.0,75.0,42,0.0,0.0
180.0,75.0,16,0.0,0.0
180.0,76.0,13,13.0,0.0
180.0,76.0,4,1.0,0.0
180.0,76.0,15,15.0,0.0
180.0,76.0,32,57.0,0.0
180.0,76.0,1,2.0,0.0
185.0,76.0,9,0.0,0.0
185.0,76.0,30,3.0,0.0
185.0,76.0,5,7.0,0.0
185.0,74.0,3,2.0,0.0
185.0,74.0,2,3.0,0.0
185.0,74.0,6,1.0,0.0
210.0,76.0,102,372.0,8.0
210.0,76.0,113,395.0,10.0
210.0,76.0,117,378.0,13.0
210.0,76.0,157,590.0,18.0
210.0,76.0,133,500.0,23.0
210.0,76.0,84,288.0,15.0
210.0,76.0,137,454.0,38.0
210.0,76.0,65,209.0,12.0
210.0,76.0,105,320.0,19.0
210.0,76.0,115,404.0,25.0
210.0,76.0,138,514.0,25.0
210.0,76.0,152,562.0,35.0
210.0,76.0,121,391.0,29.0
210.0,76.0,97,283.0,13.0
210.0,76.0,118,366.0,21.0
210.0,76.0,122,349.0,14.0
210.0,76.0,83,231.0,18.0
175.0,72.0,16,28.0,0.0
175.0,72.0,85,199.0,1.0
175.0,72.0,93,292.0,1.0
175.0,72.0,10,12.0,0.0
175.0,72.0,4,3.0,0.0
200.0,77.0,10,20.0,0.0
200.0,77.0,3,11.0,0.0
200.0,77.0,44,94.0,1.0
200.0,77.0,13,19.0,0.0
160.0,68.0,25,118.0,0.0
160.0,68.0,10,51.0,0.0
160.0,68.0,31,152.0,1.0
160.0,68.0,50,213.0,0.0
160.0,68.0,69,310.0,0.0
160.0,68.0,32,142.0,0.0
160.0,68.0,57,245.0,0.0
188.0,73.0,7,25.0,1.0
188.0,73.0,1,2.0,0.0
188.0,73.0,11,14.0,0.0
188.0,73.0,17,59.0,0.0
188.0,73.0,39,60.0,0.0
188.0,73.0,31,102.0,2.0
195.0,74.0,1,2.0,0.0
195.0,74.0,7,0.0,0.0
195.0,74.0,30,20.0,1.0
165.0,70.0,3,7.0,0.0
220.0,70.0,4,9.0,0.0
220.0,70.0,2,3.0,0.0
175.0,71.0,39,70.0,0.0
175.0,71.0,37,46.0,0.0
187.0,72.0,6,8.0,0.0
187.0,72.0,3,10.0,0.0
187.0,72.0,15,34.0,0.0
187.0,72.0,3,6.0,0.0
187.0,72.0,39,94.0,1.0
187.0,72.0,40,104.0,0.0
185.0,76.0,10,20.0,0.0
185.0,76.0,14,14.0,0.0
185.0,76.0,5,11.0,0.0
185.0,76.0,16,34.0,0.0
225.0,72.0,11,15.0,0.0
225.0,72.0,101,276.0,14.0
225.0,72.0,119,350.0,15.0
225.0,72.0,91,296.0,6.0
225.0,72.0,48,117.0,4.0
225.0,72.0,13,37.0,0.0
195.0,71.0,5,14.0,0.0
195.0,71.0,13,27.0,1.0
195.0,71.0,13,12.0,0.0
195.0,71.0,10,19.0,0.0
195.0,71.0,160,629.0,22.0
195.0,71.0,158,529.0,14.0
195.0,71.0,132,368.0,5.0
195.0,71.0,149,565.0,26.0
195.0,71.0,153,636.0,24.0
195.0,71.0,113,425.0,14.0
195.0,71.0,114,422.0,13.0
195.0,71.0,83,204.0,8.0
195.0,71.0,26,62.0,3.0
200.0,74.0,132,434.0,11.0
200.0,74.0,25,83.0,0.0
165.0,71.0,2,1.0,0.0
165.0,71.0,135,463.0,0.0
165.0,71.0,25,73.0,0.0
165.0,71.0,72,214.0,0.0
185.0,71.0,105,307.0,2.0
185.0,71.0,115,311.0,0.0
185.0,71.0,104,295.0,0.0
185.0,71.0,40,67.0,0.0
185.0,71.0,85,260.0,0.0
185.0,71.0,72,199.0,0.0
185.0,71.0,42,98.0,0.0
190.0,74.0,39,0.0,0.0
190.0,74.0,49,0.0,0.0
190.0,74.0,54,0.0,0.0
190.0,74.0,27,1.0,0.0
190.0,74.0,75,5.0,0.0
190.0,74.0,71,5.0,0.0
190.0,74.0,82,2.0,0.0
190.0,74.0,72,3.0,0.0
190.0,74.0,22,4.0,0.0
190.0,74.0,6,0.0,0.0
173.0,69.0,20,47.0,1.0
173.0,69.0,45,84.0,1.0
173.0,69.0,50,56.0,3.0
173.0,69.0,2,4.0,0.0
173.0,69.0,58,72.0,3.0
173.0,69.0,91,165.0,6.0
173.0,69.0,62,133.0,4.0
173.0,69.0,94,209.0,12.0
173.0,69.0,49,97.0,3.0
173.0,69.0,50,140.0,3.0
173.0,69.0,47,97.0,1.0
195.0,76.0,22,36.0,0.0
195.0,76.0,32,51.0,2.0
195.0,76.0,18,40.0,1.0
195.0,76.0,11,4.0,0.0
195.0,76.0,36,7.0,0.0
195.0,76.0,56,0.0,0.0
195.0,76.0,63,0.0,0.0
195.0,76.0,64,0.0,0.0
195.0,76.0,65,0.0,0.0
195.0,76.0,22,0.0,0.0
195.0,76.0,61,0.0,0.0
195.0,76.0,68,0.0,0.0
195.0,76.0,44,1.0,0.0
195.0,76.0,54,0.0,0.0
205.0,76.0,4,4.0,0.0
205.0,76.0,16,18.0,0.0
205.0,76.0,10,4.0,0.0
205.0,76.0,44,14.0,0.0
205.0,76.0,3,0.0,0.0
205.0,76.0,37,28.0,0.0
205.0,76.0,45,9.0,0.0
205.0,76.0,42,75.0,0.0
205.0,76.0,38,76.0,0.0
205.0,76.0,32,53.0,0.0
205.0,76.0,32,70.0,0.0
205.0,76.0,30,25.0,0.0
205.0,76.0,31,2.0,0.0
205.0,76.0,25,3.0,0.0
205.0,76.0,41,5.0,0.0
205.0,76.0,17,2.0,0.0
220.0,75.0,42,91.0,0.0
220.0,75.0,116,379.0,21.0
220.0,75.0,151,543.0,20.0
220.0,75.0,101,349.0,17.0
220.0,75.0,134,466.0,17.0
220.0,75.0,125,410.0,23.0
220.0,75.0,93,234.0,11.0
220.0,75.0,12,20.0,1.0
175.0,76.0,87,308.0,2.0
175.0,76.0,38,111.0,0.0
175.0,76.0,86,246.0,0.0
180.0,71.0,33,104.0,0.0
180.0,71.0,61,149.0,0.0
180.0,71.0,61,186.0,0.0
180.0,71.0,84,229.0,2.0
180.0,71.0,62,151.0,0.0
180.0,71.0,47,120.0,0.0
180.0,71.0,51,100.0,0.0
180.0,71.0,125,350.0,0.0
180.0,71.0,96,292.0,0.0
180.0,71.0,114,364.0,3.0
180.0,71.0,69,186.0,1.0
180.0,71.0,35,98.0,0.0
180.0,71.0,27,62.0,0.0
180.0,71.0,119,379.0,13.0
180.0,71.0,82,263.0,3.0
180.0,71.0,2,10.0,0.0
180.0,71.0,10,5.0,0.0
192.0,75.0,2,0.0,0.0
192.0,75.0,6,6.0,0.0
192.0,75.0,12,22.0,0.0
175.0,71.0,1,0.0,0.0
175.0,71.0,26,51.0,0.0
175.0,71.0,7,8.0,0.0
175.0,71.0,10,17.0,0.0
180.0,73.0,13,52.0,0.0
190.0,74.0,10,3.0,0.0
190.0,74.0,34,8.0,0.0
190.0,74.0,66,21.0,0.0
190.0,74.0,57,8.0,0.0
190.0,74.0,54,7.0,0.0
190.0,74.0,15,1.0,0.0
190.0,74.0,38,9.0,0.0
190.0,74.0,41,16.0,0.0
190.0,74.0,41,3.0,0.0
190.0,74.0,4,0.0,0.0
190.0,74.0,48,6.0,0.0
190.0,74.0,47,7.0,0.0
190.0,74.0,17,1.0,0.0
190.0,74.0,24,2.0,0.0
210.0,74.0,2,0.0,0.0
210.0,74.0,71,6.0,0.0
210.0,74.0,30,3.0,0.0
178.0,71.0,24,83.0,1.0
178.0,71.0,85,233.0,9.0
178.0,71.0,29,66.0,0.0
178.0,71.0,36,93.0,1.0
175.0,71.0,5,6.0,0.0
160.0,74.0,3,0.0,0.0
215.0,75.0,6,0.0,0.0
190.0,74.0,12,0.0,0.0
205.0,74.0,6,18.0,0.0
230.0,72.0,4,7.0,0.0
180.0,66.0,2,5.0,0.0
180.0,66.0,4,16.0,0.0
180.0,66.0,102,364.0,1.0
180.0,66.0,12,41.0,0.0
175.0,73.0,2,4.0,0.0
175.0,73.0,17,8.0,0.0
165.0,70.0,1,2.0,0.0
165.0,70.0,2,1.0,0.0
